time_s,true_azimuth_deg,gimbal_azimuth_deg,pointing_error_deg,motor_current_A,temperature_C,battery_V
0.0,6.732,0.285,6.447,1.016,-15.0,12.411
0.05,7.544,0.72,6.824,0.802,-15.0,12.411
0.1,8.321,1.321,7.0,0.956,-14.99,12.411
0.15,9.063,2.07,6.992,1.016,-14.99,12.411
0.2,9.767,2.934,6.833,1.016,-14.99,12.41
0.25,10.433,3.886,6.547,1.016,-14.99,12.41
0.3,11.059,4.906,6.153,1.016,-14.98,12.41
0.35,11.646,5.979,5.667,1.016,-14.98,12.41
0.4,12.193,7.093,5.099,1.016,-14.98,12.41
0.45,12.699,8.195,4.504,0.881,-14.98,12.41
0.5,13.164,9.302,3.862,0.924,-14.97,12.41
0.55,13.589,10.371,3.218,0.799,-14.97,12.41
0.6,13.973,11.373,2.6,0.68,-14.97,12.409
0.65,14.317,12.264,2.054,0.499,-14.97,12.409
0.7,14.623,13.095,1.528,0.577,-14.96,12.409
0.75,14.89,13.923,0.967,0.708,-14.96,12.409
0.8,15.12,14.562,0.557,0.16,-14.96,12.409
0.85,15.314,15.118,0.196,0.324,-14.96,12.409
0.9,15.473,15.459,0.013,0.429,-14.95,12.409
0.95,15.599,16.003,-0.404,0.989,-14.95,12.409
1.0,15.693,16.398,-0.705,0.239,-14.95,12.409
1.05,15.758,16.695,-0.937,0.19,-14.95,12.409
1.1,15.795,16.989,-1.194,0.334,-14.95,12.409
1.15,15.807,17.215,-1.408,0.173,-14.94,12.409
1.2,15.795,17.274,-1.479,0.517,-14.94,12.408
1.25,15.762,17.43,-1.669,0.469,-14.94,12.408
1.3,15.71,17.624,-1.914,0.355,-14.94,12.408
1.35,15.642,17.617,-1.976,0.645,-14.93,12.408
1.4,15.559,17.664,-2.104,0.289,-14.93,12.408
1.45,15.466,17.668,-2.202,0.265,-14.93,12.408
1.5,15.364,17.623,-2.259,0.318,-14.93,12.408
1.55,15.255,17.501,-2.246,0.434,-14.92,12.408
1.6,15.144,17.396,-2.252,0.203,-14.92,12.408
1.65,15.031,17.28,-2.249,0.277,-14.92,12.408
1.7,14.92,17.233,-2.313,0.261,-14.92,12.408
1.75,14.813,17.12,-2.307,0.404,-14.91,12.408
1.8,14.713,17.016,-2.303,0.219,-14.91,12.407
1.85,14.622,16.881,-2.258,0.34,-14.91,12.407
1.9,14.543,16.685,-2.142,0.448,-14.91,12.407
1.95,14.478,16.575,-2.097,0.257,-14.9,12.407
2.0,14.429,16.42,-1.991,0.383,-14.9,12.407
2.05,14.398,16.278,-1.88,0.239,-14.9,12.407
2.1,14.388,16.076,-1.688,0.451,-14.9,12.407
2.15,14.399,15.843,-1.444,0.404,-14.89,12.407
2.2,14.435,15.663,-1.229,0.168,-14.89,12.407
2.25,14.495,15.55,-1.055,0.211,-14.89,12.407
2.3,14.583,15.445,-0.862,0.223,-14.89,12.407
2.35,14.699,15.385,-0.687,0.197,-14.88,12.407
2.4,14.844,15.404,-0.56,0.332,-14.88,12.407
2.45,15.019,15.516,-0.498,0.431,-14.88,12.406
2.5,15.224,15.56,-0.335,0.296,-14.88,12.406
2.55,15.462,15.677,-0.215,0.389,-14.87,12.406
2.6,15.731,15.71,0.021,0.341,-14.87,12.406
2.65,16.032,15.853,0.178,0.496,-14.87,12.406
2.7,16.364,16.053,0.311,0.408,-14.87,12.406
2.75,16.729,16.192,0.537,0.211,-14.86,12.406
2.8,17.125,16.45,0.674,0.6,-14.86,12.406
2.85,17.552,16.634,0.918,0.213,-14.86,12.406
2.9,18.008,16.836,1.173,0.324,-14.86,12.406
2.95,18.494,17.074,1.42,0.39,-14.85,12.406
3.01,19.008,17.404,1.604,0.584,-14.85,12.406
3.06,19.548,17.787,1.761,0.532,-14.85,12.405
3.11,20.113,18.224,1.89,0.573,-14.85,12.405
3.16,20.702,18.659,2.043,0.441,-14.84,12.405
3.21,21.313,19.142,2.17,0.591,-14.84,12.405
3.26,21.943,19.765,2.178,0.905,-14.84,12.405
3.31,22.591,20.377,2.214,0.544,-14.84,12.405
3.36,23.254,21.023,2.231,0.676,-14.84,12.405
3.41,23.931,21.701,2.23,0.691,-14.83,12.405
3.46,24.619,22.279,2.34,0.311,-14.83,12.405
3.51,25.315,22.833,2.481,0.477,-14.83,12.405
3.56,26.016,23.419,2.598,0.626,-14.83,12.405
3.61,26.721,24.067,2.654,0.745,-14.82,12.404
3.66,27.426,24.738,2.688,0.67,-14.82,12.404
3.71,28.129,25.382,2.746,0.533,-14.82,12.404
3.76,28.826,26.118,2.709,0.875,-14.82,12.404
3.81,29.516,26.856,2.659,0.671,-14.81,12.404
3.86,30.194,27.632,2.562,0.777,-14.81,12.404
3.91,30.86,28.386,2.474,0.623,-14.81,12.404
3.96,31.509,29.126,2.383,0.634,-14.81,12.404
4.01,32.139,29.863,2.276,0.657,-14.8,12.404
4.06,32.747,30.551,2.196,0.517,-14.8,12.404
4.11,33.331,31.236,2.094,0.621,-14.8,12.403
4.16,33.888,32.038,1.85,0.984,-14.8,12.403
4.21,34.416,32.688,1.728,0.251,-14.8,12.403
4.26,34.912,33.383,1.529,0.74,-14.79,12.403
4.31,35.375,34.03,1.344,0.494,-14.79,12.403
4.36,35.801,34.703,1.098,0.682,-14.79,12.403
4.41,36.19,35.218,0.972,0.162,-14.79,12.403
4.46,36.539,35.777,0.762,0.65,-14.78,12.403
4.51,36.847,36.257,0.59,0.302,-14.78,12.403
4.56,37.111,36.758,0.354,0.551,-14.78,12.403
4.61,37.332,37.239,0.093,0.445,-14.78,12.402
4.66,37.507,37.749,-0.242,0.575,-14.78,12.402
4.71,37.636,38.222,-0.586,0.399,-14.77,12.402
4.76,37.718,38.639,-0.921,0.314,-14.77,12.402
4.81,37.752,38.788,-1.037,0.673,-14.77,12.402
4.86,37.738,38.992,-1.254,0.423,-14.77,12.402
4.91,37.675,39.184,-1.509,0.264,-14.76,12.402
4.96,37.564,39.355,-1.791,0.223,-14.76,12.402
5.01,37.405,39.493,-2.088,0.173,-14.76,12.402
5.06,37.197,39.588,-2.391,0.178,-14.76,12.402
5.11,36.943,39.592,-2.649,0.359,-14.76,12.402
5.16,36.642,39.509,-2.868,0.407,-14.75,12.402
5.21,36.295,39.373,-3.078,0.366,-14.75,12.402
5.26,35.904,39.241,-3.338,0.227,-14.75,12.401
5.31,35.469,39.077,-3.608,0.336,-14.75,12.401
5.36,34.993,38.915,-3.922,0.254,-14.74,12.401
5.41,34.476,38.767,-4.29,0.217,-14.74,12.401
5.46,33.922,38.529,-4.607,0.522,-14.74,12.401
5.51,33.33,38.174,-4.843,0.67,-14.74,12.401
5.56,32.705,37.82,-5.115,0.39,-14.74,12.401
5.61,32.047,37.306,-5.258,0.882,-14.73,12.401
5.66,31.36,36.794,-5.434,0.497,-14.73,12.401
5.71,30.645,36.115,-5.47,1.016,-14.73,12.401
5.76,29.906,35.43,-5.524,0.639,-14.73,12.401
5.81,29.144,34.698,-5.554,0.766,-14.73,12.4
5.86,28.363,33.909,-5.546,0.835,-14.72,12.4
5.91,27.565,33.166,-5.602,0.556,-14.72,12.4
5.96,26.752,32.309,-5.557,1.016,-14.72,12.4
6.01,25.929,31.407,-5.478,0.883,-14.72,12.4
6.06,25.097,30.606,-5.509,0.47,-14.72,12.4
6.11,24.26,29.704,-5.444,1.016,-14.71,12.4
6.16,23.42,28.734,-5.314,0.985,-14.71,12.4
6.21,22.58,27.702,-5.122,1.016,-14.71,12.4
6.26,21.744,26.758,-5.015,0.6,-14.71,12.399
6.31,20.912,25.813,-4.9,0.815,-14.71,12.399
6.36,20.089,24.925,-4.836,0.632,-14.7,12.399
6.41,19.277,24.0,-4.723,0.883,-14.7,12.399
6.46,18.478,23.109,-4.631,0.691,-14.7,12.399
6.51,17.695,22.201,-4.506,0.825,-14.7,12.399
6.56,16.93,21.368,-4.438,0.555,-14.69,12.399
6.61,16.185,20.493,-4.308,0.86,-14.69,12.399
6.66,15.462,19.621,-4.159,0.752,-14.69,12.399
6.71,14.764,18.699,-3.935,0.913,-14.69,12.398
6.76,14.091,18.032,-3.941,0.285,-14.69,12.398
6.81,13.446,17.431,-3.985,0.417,-14.69,12.398
6.86,12.83,16.684,-3.854,1.016,-14.68,12.398
6.91,12.244,15.875,-3.631,0.862,-14.68,12.398
6.96,11.689,15.118,-3.429,0.556,-14.68,12.398
7.01,11.166,14.328,-3.161,0.784,-14.68,12.398
7.06,10.677,13.58,-2.903,0.575,-14.68,12.398
7.11,10.22,12.823,-2.603,0.7,-14.67,12.398
7.16,9.797,12.135,-2.338,0.471,-14.67,12.398
7.21,9.408,11.487,-2.079,0.512,-14.67,12.398
7.26,9.053,10.856,-1.804,0.551,-14.67,12.397
7.31,8.731,10.238,-1.506,0.557,-14.67,12.397
7.36,8.443,9.653,-1.21,0.48,-14.66,12.397
7.41,8.187,9.1,-0.913,0.467,-14.66,12.397
7.46,7.962,8.603,-0.64,0.367,-14.66,12.397
7.51,7.768,8.126,-0.357,0.439,-14.66,12.397
7.56,7.604,7.648,-0.044,0.488,-14.66,12.397
7.61,7.468,7.281,0.188,0.151,-14.66,12.397
7.66,7.359,6.967,0.393,0.246,-14.65,12.397
7.71,7.275,6.642,0.633,0.405,-14.65,12.397
7.76,7.215,6.415,0.8,0.218,-14.65,12.397
7.81,7.176,6.128,1.047,0.492,-14.65,12.396
7.86,7.156,5.995,1.161,0.414,-14.65,12.396
7.91,7.154,5.898,1.255,0.167,-14.64,12.396
7.96,7.166,5.898,1.268,0.375,-14.64,12.396
8.01,7.192,5.806,1.385,0.434,-14.64,12.396
8.06,7.228,5.932,1.296,0.747,-14.64,12.396
8.11,7.271,5.976,1.295,0.312,-14.64,12.396
8.16,7.32,6.067,1.254,0.32,-14.64,12.396
8.21,7.372,6.162,1.211,0.225,-14.63,12.396
8.26,7.424,6.248,1.176,0.19,-14.63,12.396
8.31,7.474,6.236,1.238,0.394,-14.63,12.396
8.36,7.519,6.171,1.347,0.32,-14.63,12.396
8.41,7.556,6.166,1.39,0.285,-14.63,12.396
8.46,7.583,6.188,1.395,0.23,-14.63,12.395
8.51,7.597,6.287,1.31,0.398,-14.62,12.395
8.56,7.596,6.455,1.141,0.43,-14.62,12.395
8.61,7.578,6.58,0.998,0.164,-14.62,12.395
8.66,7.54,6.711,0.829,0.254,-14.62,12.395
8.71,7.48,6.746,0.734,0.35,-14.62,12.395
8.76,7.396,6.756,0.64,0.202,-14.62,12.395
8.81,7.286,6.821,0.465,0.325,-14.61,12.395
8.86,7.147,7.016,0.132,0.593,-14.61,12.395
8.91,6.979,7.121,-0.142,0.285,-14.61,12.395
8.96,6.78,7.203,-0.423,0.154,-14.61,12.395
9.02,6.548,7.129,-0.581,0.565,-14.61,12.395
9.07,6.282,7.031,-0.749,0.275,-14.61,12.394
9.12,5.98,6.818,-0.838,0.566,-14.6,12.394
9.17,5.643,6.626,-0.984,0.231,-14.6,12.394
9.22,5.268,6.315,-1.046,0.646,-14.6,12.394
9.27,4.856,6.021,-1.164,0.31,-14.6,12.394
9.32,4.407,5.735,-1.328,0.327,-14.6,12.394
9.37,3.919,5.404,-1.485,0.481,-14.6,12.394
9.42,3.393,5.252,-1.858,0.467,-14.6,12.394
