time_s,true_azimuth_deg,gimbal_azimuth_deg,pointing_error_deg,motor_current_A,temperature_C,battery_V
0.0,6.732,0.236,6.495,0.867,-15.0,12.411
0.05,7.544,0.288,7.256,0.555,-15.0,12.411
0.1,8.321,0.601,7.721,0.979,-14.99,12.411
0.15,9.063,1.128,7.935,1.016,-14.99,12.411
0.2,9.767,1.758,8.009,0.827,-14.99,12.41
0.25,10.433,2.391,8.042,0.589,-14.99,12.41
0.3,11.059,3.077,7.983,0.748,-14.98,12.41
0.35,11.646,3.847,7.799,0.88,-14.98,12.41
0.4,12.193,4.652,7.54,0.783,-14.98,12.41
0.45,12.699,5.427,7.271,0.612,-14.98,12.41
0.5,13.164,6.19,6.974,0.643,-14.97,12.41
0.55,13.589,7.065,6.523,1.016,-14.97,12.41
0.6,13.973,7.742,6.231,0.157,-14.97,12.41
0.65,14.317,8.369,5.949,0.458,-14.97,12.41
0.7,14.623,9.008,5.615,0.612,-14.96,12.409
0.75,14.89,9.686,5.204,0.705,-14.96,12.409
0.8,15.12,10.231,4.889,0.199,-14.96,12.409
0.85,15.314,10.885,4.429,0.851,-14.96,12.409
0.9,15.473,11.536,3.937,0.585,-14.95,12.409
0.95,15.599,12.066,3.532,0.22,-14.95,12.409
1.0,15.693,12.55,3.144,0.361,-14.95,12.409
1.05,15.758,13.043,2.715,0.502,-14.95,12.409
1.1,15.795,13.506,2.289,0.386,-14.95,12.409
1.15,15.807,13.886,1.921,0.202,-14.94,12.409
1.2,15.795,14.231,1.564,0.293,-14.94,12.409
1.25,15.762,14.457,1.305,0.293,-14.94,12.409
1.3,15.71,14.713,0.997,0.383,-14.94,12.408
1.35,15.642,14.951,0.691,0.255,-14.93,12.408
1.4,15.559,15.195,0.364,0.319,-14.93,12.408
1.45,15.466,15.384,0.082,0.17,-14.93,12.408
1.5,15.364,15.503,-0.139,0.248,-14.93,12.408
1.55,15.255,15.707,-0.451,0.473,-14.92,12.408
1.6,15.144,15.85,-0.707,0.211,-14.92,12.408
1.65,15.031,16.173,-1.142,0.779,-14.92,12.408
1.7,14.92,16.36,-1.44,0.36,-14.92,12.408
1.75,14.813,16.593,-1.78,0.403,-14.91,12.408
1.8,14.713,16.685,-1.972,0.436,-14.91,12.408
1.85,14.622,16.686,-2.063,0.385,-14.91,12.408
1.9,14.543,16.728,-2.185,0.261,-14.91,12.407
1.95,14.478,16.844,-2.366,0.382,-14.9,12.407
2.0,14.429,16.892,-2.463,0.291,-14.9,12.407
2.05,14.398,16.833,-2.435,0.464,-14.9,12.407
2.1,14.388,16.776,-2.388,0.206,-14.9,12.407
2.15,14.399,16.669,-2.27,0.359,-14.89,12.407
2.2,14.435,16.531,-2.097,0.336,-14.89,12.407
2.25,14.495,16.469,-1.974,0.266,-14.89,12.407
2.3,14.583,16.415,-1.832,0.185,-14.89,12.407
2.35,14.699,16.411,-1.713,0.248,-14.88,12.407
2.4,14.844,16.401,-1.557,0.189,-14.88,12.407
2.45,15.019,16.357,-1.338,0.276,-14.88,12.407
2.5,15.224,16.368,-1.144,0.271,-14.88,12.407
2.55,15.462,16.467,-1.005,0.408,-14.87,12.406
2.6,15.731,16.581,-0.85,0.251,-14.87,12.406
2.65,16.032,16.712,-0.681,0.269,-14.87,12.406
2.7,16.364,16.802,-0.438,0.2,-14.87,12.406
2.75,16.729,17.04,-0.311,0.649,-14.86,12.406
2.8,17.125,17.245,-0.12,0.205,-14.86,12.406
2.85,17.552,17.381,0.17,0.231,-14.86,12.406
2.9,18.008,17.575,0.433,0.409,-14.86,12.406
2.95,18.494,17.79,0.704,0.337,-14.85,12.406
3.01,19.008,17.999,1.008,0.27,-14.85,12.406
3.06,19.548,18.334,1.213,0.671,-14.85,12.406
3.11,20.113,18.697,1.416,0.458,-14.85,12.406
3.16,20.702,19.021,1.681,0.276,-14.84,12.405
3.21,21.313,19.277,2.036,0.157,-14.84,12.405
3.26,21.943,19.66,2.283,0.709,-14.84,12.405
3.31,22.591,20.063,2.528,0.471,-14.84,12.405
3.36,23.254,20.578,2.676,0.767,-14.84,12.405
3.41,23.931,20.97,2.961,0.174,-14.83,12.405
3.46,24.619,21.424,3.195,0.606,-14.83,12.405
3.51,25.315,21.974,3.341,0.754,-14.83,12.405
3.56,26.016,22.544,3.472,0.591,-14.83,12.405
3.61,26.721,23.111,3.61,0.535,-14.82,12.405
3.66,27.426,23.701,3.725,0.609,-14.82,12.405
3.71,28.129,24.269,3.86,0.493,-14.82,12.404
3.76,28.826,24.939,3.887,0.858,-14.82,12.404
3.81,29.516,25.584,3.931,0.537,-14.81,12.404
3.86,30.194,26.286,3.909,0.77,-14.81,12.404
3.91,30.86,27.042,3.817,0.808,-14.81,12.404
3.96,31.509,27.659,3.85,0.248,-14.81,12.404
4.01,32.139,28.379,3.759,0.899,-14.8,12.404
4.06,32.747,29.015,3.732,0.392,-14.8,12.404
4.11,33.331,29.626,3.705,0.519,-14.8,12.404
4.16,33.888,30.151,3.737,0.317,-14.8,12.404
4.21,34.416,30.659,3.757,0.463,-14.8,12.404
4.26,34.912,31.19,3.723,0.576,-14.79,12.403
4.31,35.375,31.832,3.542,0.864,-14.79,12.403
4.36,35.801,32.471,3.33,0.589,-14.79,12.403
4.41,36.19,33.064,3.126,0.459,-14.79,12.403
4.46,36.539,33.713,2.826,0.739,-14.78,12.403
4.51,36.847,34.283,2.564,0.364,-14.78,12.403
4.56,37.111,34.839,2.273,0.508,-14.78,12.403
4.61,37.332,35.473,1.859,0.782,-14.78,12.403
4.66,37.507,35.979,1.528,0.205,-14.78,12.403
4.71,37.636,36.447,1.189,0.392,-14.77,12.403
4.76,37.718,36.818,0.9,0.185,-14.77,12.403
4.81,37.752,37.182,0.57,0.392,-14.77,12.402
4.86,37.738,37.514,0.223,0.311,-14.77,12.402
4.91,37.675,37.816,-0.141,0.296,-14.76,12.402
4.96,37.564,38.128,-0.564,0.395,-14.76,12.402
5.01,37.405,38.409,-1.004,0.276,-14.76,12.402
5.06,37.197,38.569,-1.372,0.315,-14.76,12.402
5.11,36.943,38.759,-1.816,0.357,-14.76,12.402
5.16,36.642,38.684,-2.042,0.823,-14.75,12.402
5.21,36.295,38.625,-2.33,0.153,-14.75,12.402
5.26,35.904,38.64,-2.737,0.34,-14.75,12.402
5.31,35.469,38.615,-3.146,0.258,-14.75,12.402
5.36,34.993,38.434,-3.441,0.639,-14.74,12.402
5.41,34.476,38.352,-3.875,0.329,-14.74,12.401
5.46,33.922,38.237,-4.316,0.299,-14.74,12.401
5.51,33.33,38.032,-4.702,0.502,-14.74,12.401
5.56,32.705,37.833,-5.128,0.271,-14.74,12.401
5.61,32.047,37.564,-5.516,0.5,-14.73,12.401
5.66,31.36,37.278,-5.918,0.382,-14.73,12.401
5.71,30.645,36.916,-6.271,0.579,-14.73,12.401
5.76,29.906,36.468,-6.563,0.662,-14.73,12.401
5.81,29.144,36.021,-6.877,0.456,-14.73,12.401
5.86,28.363,35.731,-7.369,0.32,-14.72,12.401
5.91,27.565,35.246,-7.682,0.943,-14.72,12.401
5.96,26.752,34.786,-8.033,0.412,-14.72,12.4
6.01,25.929,34.146,-8.217,1.016,-14.72,12.4
6.06,25.097,33.568,-8.471,0.404,-14.72,12.4
6.11,24.26,32.896,-8.636,0.841,-14.71,12.4
6.16,23.42,32.245,-8.825,0.553,-14.71,12.4
6.21,22.58,31.588,-9.008,0.619,-14.71,12.4
6.26,21.744,30.987,-9.243,0.438,-14.71,12.4
6.31,20.912,30.295,-9.383,0.845,-14.71,12.4
6.36,20.089,29.869,-9.78,0.482,-14.7,12.4
6.41,19.277,29.257,-9.98,1.016,-14.7,12.4
6.46,18.478,28.575,-10.097,0.789,-14.7,12.399
6.51,17.695,27.804,-10.109,0.899,-14.7,12.399
6.56,16.93,27.063,-10.133,0.597,-14.69,12.399
6.61,16.185,26.287,-10.102,0.775,-14.69,12.399
6.66,15.462,25.42,-9.958,0.968,-14.69,12.399
6.71,14.764,24.586,-9.822,0.658,-14.69,12.399
6.76,14.091,23.68,-9.588,0.953,-14.69,12.399
6.81,13.446,22.775,-9.329,0.778,-14.69,12.399
6.86,12.83,21.86,-9.03,0.817,-14.68,12.399
6.91,12.244,20.921,-8.677,0.864,-14.68,12.398
6.96,11.689,20.047,-8.358,0.607,-14.68,12.398
7.01,11.166,19.148,-7.982,0.841,-14.68,12.398
7.06,10.677,18.339,-7.662,0.506,-14.68,12.398
7.11,10.22,17.825,-7.605,0.485,-14.67,12.398
7.16,9.797,17.146,-7.348,1.016,-14.67,12.398
7.21,9.408,16.476,-7.068,0.598,-14.67,12.398
7.26,9.053,15.771,-6.718,0.727,-14.67,12.398
7.31,8.731,15.026,-6.295,0.769,-14.67,12.398
7.36,8.443,14.374,-5.931,0.39,-14.66,12.398
7.41,8.187,13.877,-5.691,0.168,-14.66,12.397
7.46,7.962,13.455,-5.493,0.272,-14.66,12.397
7.51,7.768,12.848,-5.08,1.014,-14.66,12.397
7.56,7.604,12.384,-4.78,0.162,-14.66,12.397
7.61,7.468,11.821,-4.353,0.781,-14.66,12.397
7.66,7.359,11.317,-3.958,0.367,-14.65,12.397
7.71,7.275,10.645,-3.37,1.016,-14.65,12.397
7.76,7.215,10.089,-2.874,0.272,-14.65,12.397
7.81,7.176,9.668,-2.492,0.172,-14.65,12.397
7.86,7.156,9.266,-2.11,0.388,-14.65,12.397
7.91,7.154,8.849,-1.696,0.48,-14.64,12.397
7.96,7.166,8.478,-1.312,0.304,-14.64,12.397
8.01,7.192,8.144,-0.952,0.302,-14.64,12.396
8.06,7.228,7.796,-0.568,0.425,-14.64,12.396
8.11,7.271,7.575,-0.304,0.291,-14.64,12.396
8.16,7.32,7.385,-0.064,0.213,-14.64,12.396
8.21,7.372,7.168,0.204,0.365,-14.63,12.396
8.26,7.424,7.041,0.384,0.269,-14.63,12.396
8.31,7.474,7.018,0.456,0.379,-14.63,12.396
8.36,7.519,6.914,0.605,0.416,-14.63,12.396
8.41,7.556,6.875,0.68,0.277,-14.63,12.396
8.46,7.583,6.804,0.778,0.278,-14.63,12.396
8.51,7.597,6.734,0.863,0.198,-14.62,12.396
8.56,7.596,6.731,0.865,0.306,-14.62,12.396
8.61,7.578,6.744,0.834,0.196,-14.62,12.396
8.66,7.54,6.727,0.813,0.233,-14.62,12.395
8.71,7.48,6.829,0.651,0.502,-14.62,12.395
8.76,7.396,6.744,0.652,0.649,-14.62,12.395
8.81,7.286,6.729,0.557,0.303,-14.61,12.395
8.86,7.147,6.615,0.533,0.46,-14.61,12.395
8.91,6.979,6.571,0.408,0.287,-14.61,12.395
8.96,6.78,6.737,0.043,0.76,-14.61,12.395
9.02,6.548,6.668,-0.12,0.75,-14.61,12.395
9.07,6.282,6.57,-0.288,0.282,-14.61,12.395
9.12,5.98,6.499,-0.519,0.166,-14.6,12.395
9.17,5.643,6.455,-0.812,0.186,-14.6,12.395
9.22,5.268,6.32,-1.052,0.455,-14.6,12.394
9.27,4.856,6.253,-1.396,0.267,-14.6,12.394
9.32,4.407,6.173,-1.766,0.231,-14.6,12.394
9.37,3.919,6.08,-2.161,0.243,-14.6,12.394
9.42,3.393,5.848,-2.455,0.631,-14.6,12.394
9.47,2.83,5.565,-2.735,0.464,-14.59,12.394
9.52,2.228,5.272,-3.043,0.373,-14.59,12.394
9.57,1.59,4.905,-3.315,0.573,-14.59,12.394
9.62,0.916,4.515,-3.599,0.471,-14.59,12.394
9.67,0.207,4.257,-4.051,0.29,-14.59,12.394
9.72,-0.537,3.789,-4.326,0.967,-14.59,12.394
9.77,-1.313,3.224,-4.537,0.764,-14.59,12.394
9.82,-2.121,2.711,-4.831,0.378,-14.58,12.393
9.87,-2.958,2.153,-5.111,0.635,-14.58,12.393
9.92,-3.823,1.532,-5.355,0.725,-14.58,12.393
9.97,-4.714,0.845,-5.559,0.776,-14.58,12.393
10.02,-5.629,0.211,-5.84,0.459,-14.58,12.393
10.07,-6.565,-0.555,-6.01,0.986,-14.58,12.393
10.12,-7.521,-1.383,-6.138,0.862,-14.58,12.393
10.17,-8.493,-2.192,-6.301,0.661,-14.57,12.393
10.22,-9.479,-3.005,-6.474,0.715,-14.57,12.393
10.27,-10.478,-3.843,-6.634,0.783,-14.57,12.392
10.32,-11.485,-4.681,-6.804,0.721,-14.57,12.392
10.37,-12.498,-5.614,-6.883,1.016,-14.57,12.392
10.42,-13.514,-6.576,-6.938,0.875,-14.57,12.392
10.47,-14.531,-7.472,-7.059,0.607,-14.57,12.392
10.52,-15.545,-8.39,-7.155,0.831,-14.57,12.392
10.57,-16.554,-9.306,-7.247,0.773,-14.56,12.392
10.62,-17.554,-10.302,-7.253,1.016,-14.56,12.392
10.67,-18.544,-11.139,-7.405,0.348,-14.56,12.392
10.72,-19.519,-12.073,-7.447,1.016,-14.56,12.392
10.77,-20.478,-12.842,-7.636,0.285,-14.56,12.391
10.82,-21.417,-13.724,-7.693,1.016,-14.56,12.391
10.87,-22.334,-14.637,-7.697,0.846,-14.56,12.391
10.92,-23.226,-15.553,-7.673,0.783,-14.56,12.391
10.97,-24.091,-16.549,-7.542,1.016,-14.56,12.391
11.02,-24.926,-17.525,-7.401,0.77,-14.55,12.391
11.07,-25.73,-18.499,-7.231,0.81,-14.55,12.391
11.12,-26.499,-19.51,-6.989,0.931,-14.55,12.391
11.17,-27.232,-20.159,-7.074,0.57,-14.55,12.391
11.22,-27.928,-20.947,-6.98,1.016,-14.55,12.39
11.27,-28.584,-21.606,-6.978,0.287,-14.55,12.39
11.32,-29.198,-22.403,-6.796,1.016,-14.55,12.39
11.37,-29.771,-23.163,-6.608,0.577,-14.55,12.39
11.42,-30.3,-24.006,-6.294,0.919,-14.55,12.39
11.47,-30.784,-24.868,-5.916,0.782,-14.54,12.39
11.52,-31.222,-25.822,-5.401,1.016,-14.54,12.39
11.57,-31.615,-26.697,-4.918,0.562,-14.54,12.39
11.62,-31.961,-27.64,-4.321,0.952,-14.54,12.39
11.67,-32.261,-28.428,-3.833,0.32,-14.54,12.39
11.72,-32.514,-29.189,-3.325,0.603,-14.54,12.389
11.77,-32.72,-29.892,-2.828,0.49,-14.54,12.389
11.82,-32.88,-30.693,-2.187,0.924,-14.54,12.389
11.87,-32.995,-31.29,-1.705,0.226,-14.54,12.389
11.92,-33.065,-32.005,-1.059,0.913,-14.54,12.389
11.97,-33.09,-32.692,-0.398,0.55,-14.53,12.389
12.02,-33.073,-33.22,0.147,0.168,-14.53,12.389
12.07,-33.014,-33.736,0.721,0.466,-14.53,12.389
12.12,-32.915,-34.15,1.235,0.189,-14.53,12.389
12.17,-32.778,-34.516,1.739,0.28,-14.53,12.389
12.22,-32.603,-34.849,2.246,0.292,-14.53,12.389
12.27,-32.394,-35.123,2.729,0.191,-14.53,12.388
12.32,-32.152,-35.221,3.069,0.507,-14.53,12.388
12.37,-31.879,-35.483,3.604,0.707,-14.53,12.388
12.42,-31.578,-35.672,4.094,0.198,-14.53,12.388
12.47,-31.251,-35.834,4.584,0.189,-14.53,12.388
12.52,-30.9,-35.912,5.012,0.303,-14.53,12.388
