time_s,true_azimuth_deg,gimbal_azimuth_deg,pointing_error_deg,motor_current_A,temperature_C,battery_V
0.0,6.732,0.546,6.186,1.068,22.0,12.6
0.05,7.544,1.05,6.494,0.46,22.0,12.6
0.1,8.321,1.67,6.651,0.699,22.0,12.6
0.15,9.063,2.405,6.658,0.775,22.0,12.6
0.2,9.767,3.007,6.76,0.442,22.0,12.599
0.25,10.433,3.641,6.792,0.623,22.0,12.599
0.3,11.059,4.331,6.728,0.688,22.0,12.599
0.35,11.646,5.053,6.593,0.684,22.0,12.599
0.4,12.193,5.729,6.464,0.578,22.0,12.599
0.45,12.699,6.374,6.324,0.57,22.0,12.599
0.5,13.164,7.109,6.055,0.749,22.0,12.599
0.55,13.589,7.796,5.793,0.583,22.0,12.599
0.6,13.973,8.468,5.505,0.604,22.0,12.599
0.65,14.317,9.031,5.287,0.434,22.0,12.599
0.7,14.623,9.798,4.825,0.886,22.0,12.599
0.75,14.89,10.358,4.532,0.337,22.0,12.598
0.8,15.12,11.071,4.048,0.796,22.0,12.598
0.85,15.314,11.59,3.724,0.319,22.0,12.598
0.9,15.473,11.99,3.483,0.311,22.0,12.598
0.95,15.599,12.43,3.169,0.494,22.0,12.598
1.0,15.693,12.875,2.818,0.464,22.0,12.598
1.05,15.758,13.145,2.613,0.163,22.0,12.598
1.1,15.795,13.586,2.209,0.624,22.0,12.598
1.15,15.807,13.816,1.991,0.201,22.0,12.598
1.2,15.795,14.036,1.759,0.292,22.0,12.598
1.25,15.762,14.282,1.479,0.345,22.0,12.598
1.3,15.71,14.43,1.279,0.153,22.0,12.598
1.35,15.642,14.771,0.871,0.572,22.0,12.597
1.4,15.559,14.938,0.621,0.206,22.0,12.597
1.45,15.466,15.219,0.247,0.453,22.0,12.597
1.5,15.364,15.3,0.063,0.292,22.0,12.597
1.55,15.255,15.577,-0.322,0.53,22.0,12.597
1.6,15.144,15.615,-0.472,0.361,22.0,12.597
1.65,15.031,15.849,-0.818,0.501,22.0,12.597
1.7,14.92,15.863,-0.943,0.361,22.0,12.597
1.75,14.813,16.126,-1.313,0.574,22.0,12.597
1.8,14.713,16.155,-1.442,0.364,22.0,12.597
1.85,14.622,16.16,-1.538,0.175,22.0,12.597
1.9,14.543,16.05,-1.507,0.345,22.0,12.597
1.95,14.478,16.081,-1.603,0.304,22.0,12.596
2.0,14.429,15.989,-1.56,0.339,22.0,12.596
2.05,14.398,16.205,-1.807,0.598,22.0,12.596
2.1,14.388,16.258,-1.871,0.279,22.0,12.596
2.15,14.399,16.155,-1.756,0.381,22.0,12.596
2.2,14.435,16.092,-1.657,0.161,22.0,12.596
2.25,14.495,16.126,-1.631,0.265,22.0,12.596
2.3,14.583,16.103,-1.52,0.23,22.0,12.596
2.35,14.699,16.066,-1.367,0.195,22.0,12.596
2.4,14.844,16.22,-1.376,0.439,22.0,12.596
2.45,15.019,16.172,-1.154,0.388,22.0,12.596
2.5,15.224,16.228,-1.003,0.285,22.0,12.596
2.55,15.462,16.207,-0.746,0.245,22.0,12.595
2.6,15.731,16.177,-0.446,0.187,22.0,12.595
2.65,16.032,16.368,-0.336,0.494,22.0,12.595
2.7,16.364,16.52,-0.156,0.214,22.0,12.595
2.75,16.729,16.704,0.025,0.303,22.0,12.595
2.8,17.125,16.855,0.27,0.216,22.0,12.595
2.85,17.552,17.156,0.396,0.502,22.0,12.595
2.9,18.008,17.223,0.785,0.338,22.0,12.595
2.95,18.494,17.46,1.034,0.476,22.0,12.595
